maliciousness	wrongdoing	malice	foul play	wrongfulness	offence	foulness	unfaithfulness	voluptuousness	evilness	iniquity	harmedness	insinuation	possessiveness	unintentional harm	prevarication	calamity	unintentionality	premeditation	attempt
unit of measure	unit of time	mathematical unit	coding system	monetary unit	function	data-storage medium	equivalent unit of time	numerical code	equivalent unit of measure	mathematical category	equivalent unit	dbm (direct current)	mathematical model	dbm (dB)	equator	equivalency	draughtsman	djinn	data storage device
birth by Caesarea	labor force change	birth by Caesarean section	c-section	caesarean section	medical procedure	birth	gynaecological surgery	childbirth	labor force activity	labor and delivery	surgical procedure	labor and birth	gynecological surgery	gynecological pathology	gynaecological section	labor and childbirth	caesareansection	caesarean delivery	gynaecological treatment
geologic time interval	geology	geological time	geologic time	paleotectonics	paleotectonic material	paleotectonic layer	precambrian	paleotectonic rock type	precambrian period	precambrian era	geological period	geologic period	igneous rock type	paleoclimatology	petroleum sandstone	precambrian age	igneous rock	magma & duststone	theologized geological period
spice	limoncello	plant	herbaceous plant	plant part	plant material	chemical group	paprika	limonacea	plant substance	potentiously anti-inflammatory drug	dandelion flowering plant	dandelion flowering plants	dandelion greens	dandelion veg	potentiating agent	dandelion flowering bush	potentiously anti-inflammatory agent	dandelion venom	potentiously sweet and spicy
plant	genus	animal	flower	plant class	molecular biology	species	plant part	lizard	fictitious character	plant group	fictitious person	molecular person	fictitious creature	palynological society	environmental science	non-indigenous species	non-indigenous animals	non-indigenous animal	non-indigenous plants
electronic equipment	computing device	computer network card	utensil	telecommunications equipment	computer system	computer chip	computing machine	notebook computer	work of art	electrical appliance	consumer durable appliance (DDA) and consumer electronics	electronic device	consumer durable appliance (DAA) and electrical appliance	pc	consumer durable appliance (DAA) and consumer electronics	consumer durable appliance (DDA) and electrical appliance	pc programme	pc/computer/mobile phone	communication equipment
spatial relation	front	movement	line of sight	bodily process	thespian	physical system	physical phenomenon	onslaught	aft	unit of area of mathematics	direction	unit of time	body part	unit of area of study	unit of area of measurement	unit of area of space	frontal view	unit of measurement	unit of area
natural movement	hydrologic process	natural process	fluid	edifice	natural action	physical system	movable object	animate thing	micro-organism	microorganism	thermodynamics	ductus	equilibrium	thermodynamic system	thermodynamic relation	efferent product	efferentiation	equilibrated state	thermodynamic phenomenon
cost	admission	expenditure	monetary unit	cost of admission	ticket price	pay-per-view	net cost	monetary value	fee	pay-per-use	cost per head	priced service	net income	pay-per-view.	pay-per-visit	pay-per-show	pay as you go	pay per head	pay-per-use.
symbol	symbolisation	emblem	symbolism	representation	symbolic representation	icon	image	object	representational process	artifact	depiction	pictorial representation	mark	form of representation	graphic symbol	printed symbol	work of art	obelisk	pictograph
country	fictitious country	map	mapmaking	place of origin	geographical point	asian country	city	imaginary country	fictional country	sphere of natural science	imaginary place	horoscope	thespian	linguistic unit	destination equid	horological zone	destination equivilant	geographic region	land mass
disease	sickness	illness	disorder	inflammation	pathological state	arthritis	sicknesses	health condition	sickness group	pathology	phthisiopathological state	phthisiochondritis	phthisiopathological disorder	phthisiopathologic disorder	phthisiopathologic disease	phthisiopathological condition	phthisiopathological process	phthisiopath	purulent erythrocystis
engineered system	hybrid	combination	mechanical assembly	hybridization	equilibrated form	complex mathematical function	complex mathematical process	equilibrium	equilateral triangle	homogeneous race	non-biological system	homogeneous species	equilibrist	lexical category	homogeneous mixture	scientific research	work of art	equilibrated product	corpora | textfile
obssession	affection	desire	infatuation	admiration	passion	fascination	love	insatiable desire	adoration	arousal	obsession	lust	obsequiety	insatiableness	indifference	enrapture	aversion	obsessiveness	enticement
sportsman's sport	movement	stroke	handstand	skidpump	move	technical specification	sportsman’s sport	competition	sportsmanship	physical property	skill	body movement	abbreviation	dance form	hand gesture	hand tool	handrail	handtool	skillfulness
person	court reporter	writer	author	literary work	personal name	written word	person of interest	legal expert	courtroom	private person	journalist	sociologist	actor	political leader	fictitious character	given name	satirist	written communication	zoologist
reliability	quality	accuracy	reliability factor	resiliency	relative quality	reability	replicability	reliableness	observable	rigor	reliabilité	dependability	satisfactoryness	invariability	reliabilities	dependableness	relative reliability	workmanlikeness	compatibility
person	writer	actor	sportsperson	professional athlete	man of letters	literary critic	wrestler	performer	fictitious character	work of art	personal name	surname	personal trainer	footballer	professional sportsperson	football player	professional footballer	player	professional person
atmospheric phenomena	windstorm	tropical storm	natural phenomenon	tropical depression	atmospheric phenomenon	weather condition	cyclone	typhoon	violent storm	category 5 hurricane	tropical cyclone	atmopsherelin	atmospheric state	eagle-eyed wood pigeon	eagle-eyed woodsmen	eagle-eyed woodsmen and woodworker	eagle-eyed woodsmen and woodworkers	eagle-eyed parrot	eagle-eyed woodsmen in the wild
person	writer	historian	poet	Platt	physicist	evaluator	mathematician	work of art	text file	library science	theologian	author	bookman	scientific discovery	Platonist	textfile	Platon	poetess	mathematicians
dwelling	prison	social control	jail	facility	edifice	county courthouse	confined space	correctional institution	jailhouse	constructed structure	incarceration unit	private edifice	social control and correctional institution	cistern	private ghetto	private hosiery	local government	social control and correctional institution.	private solitary confinement
